PERSON_AGE,VEHICLE_ID,POSITION_IN_VEHICLE,EJECTION,SAFETY_EQUIPMENT
34.0,20038594.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
12.0,20038594.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
39.0,20038595.0,Driver,Not Ejected,Lap Belt & Harness
37.0,20038594.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Child Restraint Only
51.0,20043375.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
25.0,20046091.0,Driver,Not Ejected,Lap Belt & Harness
38.0,20035466.0,Driver,Not Ejected,Lap Belt
26.0,NA,NA,NA,NA
19.0,20035355.0,Driver,Not Ejected,Lap Belt
31.0,NA,NA,NA,NA
24.0,20035355.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
38.0,20038933.0,Driver,Not Ejected,Lap Belt & Harness
20.0,20035871.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
20.0,20035871.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
20.0,20035871.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
25.0,20035999.0,Driver,Not Ejected,Lap Belt & Harness
20.0,20035871.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
21.0,20035871.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
25.0,20051695.0,Driver,Not Ejected,Lap Belt & Harness
32.0,NA,NA,NA,NA
20.0,20036610.0,Driver,Not Ejected,Lap Belt & Harness
28.0,20035437.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
26.0,20038463.0,Driver,Not Ejected,Lap Belt & Harness
38.0,20035438.0,Driver,Not Ejected,Lap Belt & Harness
61.0,20043979.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
21.0,20047575.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Air Bag Deployed/Lap Belt/Harness
25.0,20047575.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt/Harness
54.0,20043979.0,Driver,Not Ejected,Lap Belt & Harness
39.0,20037547.0,Driver,Not Ejected,Lap Belt
44.0,20037548.0,Driver,Not Ejected,Lap Belt & Harness
40.0,20037547.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
28.0,20037547.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,20047575.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
22.0,20047575.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Air Bag Deployed/Lap Belt/Harness
20.0,NA,NA,NA,NA
30.0,20036426.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
40.0,20037549.0,Driver,Not Ejected,Lap Belt
23.0,NA,NA,NA,NA
24.0,20035874.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
31.0,20036426.0,Driver,Not Ejected,Lap Belt
44.0,20036426.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
28.0,20034909.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt
21.0,NA,NA,NA,NA
63.0,20034909.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt
26.0,20035874.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
20.0,20035799.0,Driver,Not Ejected,Lap Belt & Harness
33.0,20035874.0,Driver,Not Ejected,Lap Belt & Harness
57.0,20039216.0,Driver,Ejected,None
32.0,20035787.0,Driver,Not Ejected,Lap Belt
26.0,20035246.0,Driver,Not Ejected,Lap Belt & Harness
81.0,20043455.0,Driver,Not Ejected,Unknown
81.0,20043455.0,Driver,Not Ejected,Lap Belt
20.0,20034806.0,Driver,Not Ejected,Lap Belt & Harness
54.0,NA,NA,NA,NA
29.0,20036758.0,Driver,Not Ejected,Lap Belt & Harness
27.0,20038860.0,Driver,Not Ejected,Unknown
63.0,20035898.0,Driver,Not Ejected,Lap Belt & Harness
50.0,20035666.0,Driver,Not Ejected,None
59.0,20035693.0,Driver,Ejected,Unknown
40.0,20036768.0,"Middle front seat, or passenger lying across a seat",Not Ejected,None
38.0,20036484.0,Driver,Not Ejected,Unknown
52.0,20036228.0,Driver,Not Ejected,Lap Belt & Harness
67.0,20035689.0,Driver,Not Ejected,Lap Belt & Harness
42.0,20036768.0,Driver,Not Ejected,None
61.0,20035651.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
52.0,20036035.0,Driver,Not Ejected,Unknown
77.0,20036300.0,Driver,Not Ejected,Lap Belt
74.0,NA,NA,NA,NA
29.0,20035651.0,Driver,Not Ejected,Lap Belt & Harness
53.0,20039399.0,Driver,Not Ejected,None
38.0,20039221.0,Driver,Not Ejected,Unknown
27.0,20039222.0,Driver,Not Ejected,Unknown
40.0,20036146.0,Driver,Not Ejected,Lap Belt & Harness
44.0,20037006.0,Driver,Not Ejected,Unknown
58.0,20036699.0,Driver,Not Ejected,Lap Belt
38.0,20036280.0,Driver,Not Ejected,Lap Belt & Harness
77.0,20035749.0,Driver,Not Ejected,Lap Belt & Harness
35.0,20035959.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt
55.0,20035639.0,Driver,Not Ejected,Lap Belt & Harness
29.0,20035708.0,Driver,Not Ejected,None
56.0,20035750.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
67.0,20036646.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
63.0,20035750.0,Driver,Not Ejected,Lap Belt & Harness
48.0,20036478.0,Driver,Not Ejected,Unknown
74.0,20038801.0,Driver,Not Ejected,Lap Belt & Harness
40.0,20039343.0,Driver,Not Ejected,Lap Belt & Harness
22.0,20040196.0,Driver,Not Ejected,Lap Belt & Harness
57.0,20036453.0,Driver,Ejected,None
80.0,20036114.0,Driver,Not Ejected,Lap Belt & Harness
40.0,NA,NA,NA,NA
54.0,20036630.0,Driver,Not Ejected,Unknown
74.0,20035753.0,Driver,Not Ejected,Lap Belt & Harness
41.0,NA,NA,NA,NA
23.0,20037093.0,Driver,Not Ejected,None
68.0,NA,NA,NA,NA
27.0,NA,NA,NA,NA
22.0,20042278.0,Driver,Not Ejected,None
15.0,20042219.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
22.0,20042219.0,Driver,Not Ejected,None
15.0,20042278.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
33.0,20042278.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,None
19.0,20042219.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,None
45.0,20036934.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
25.0,20036349.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
5.0,20035710.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
38.0,20035713.0,Driver,Not Ejected,Unknown
29.0,20035710.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
50.0,20036934.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
37.0,20039223.0,Driver,Not Ejected,Unknown
72.0,20040066.0,Driver,Not Ejected,Lap Belt & Harness
37.0,20041938.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
40.0,20035532.0,Driver,Not Ejected,Unknown
16.0,20036455.0,Riding/Hanging on Outside,Ejected,Unknown
46.0,20039313.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
49.0,20042826.0,Driver,Not Ejected,Helmet (Motorcycle Only)
37.0,20036650.0,Driver,Ejected,Helmet (Motorcycle Only)
42.0,20035653.0,Driver,Not Ejected,Unknown
47.0,20035511.0,Riding/Hanging on Outside,Ejected,Helmet (Motorcycle Only)
20.0,20036352.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
53.0,20036952.0,Driver,Ejected,None
57.0,20037573.0,Driver,Not Ejected,Lap Belt & Harness
21.0,20037306.0,Driver,Not Ejected,Lap Belt & Harness
72.0,20036672.0,Driver,Not Ejected,Lap Belt & Harness
10.0,20038051.0,Riding/Hanging on Outside,Not Ejected,Lap Belt & Harness
5.0,20038051.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
6.0,20038051.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
9.0,20038051.0,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Not Ejected,Lap Belt & Harness
59.0,20038044.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
36.0,20040641.0,Driver,Not Ejected,Unknown
22.0,20038541.0,Driver,Not Ejected,Lap Belt & Harness
33.0,20038540.0,Driver,Not Ejected,Lap Belt & Harness
37.0,20036702.0,Driver,Not Ejected,Lap Belt & Harness
59.0,NA,NA,NA,NA
5.0,NA,Unknown,NA,NA
50.0,20036605.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
58.0,NA,NA,NA,NA
63.0,20036120.0,Driver,Not Ejected,Unknown
16.0,NA,NA,NA,NA
69.0,NA,Unknown,Not Ejected,None
35.0,20036538.0,Driver,Not Ejected,Lap Belt & Harness
64.0,20036605.0,Driver,Not Ejected,Unknown
34.0,20036260.0,Driver,Ejected,Helmet (Motorcycle Only)
39.0,20038915.0,Driver,Not Ejected,Lap Belt & Harness
15.0,20037462.0,Driver,Not Ejected,None
31.0,20036908.0,Driver,Not Ejected,None
22.0,20036910.0,Driver,Partially Ejected,None
25.0,20036975.0,Driver,Not Ejected,None
15.0,20036978.0,Driver,Not Ejected,None
21.0,20037464.0,Driver,Not Ejected,None
33.0,20036703.0,Driver,Not Ejected,Lap Belt & Harness
70.0,20035656.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
5.0,20035656.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
26.0,20039225.0,Driver,Not Ejected,Unknown
30.0,20035732.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
12.0,NA,NA,NA,NA
45.0,20041617.0,Unknown,Not Ejected,Unknown
70.0,20055047.0,"Middle front seat, or passenger lying across a seat",Ejected,None
27.0,20045118.0,Driver,Not Ejected,Unknown
68.0,20042325.0,Driver,Not Ejected,Other
34.0,20035536.0,Driver,Ejected,Helmet (Motorcycle Only)
22.0,20035937.0,Driver,Not Ejected,Lap Belt & Harness
22.0,NA,NA,NA,NA
32.0,20036723.0,Driver,Partially Ejected,Unknown
2.0,NA,NA,NA,NA
35.0,20039228.0,Driver,Ejected,None
25.0,20036319.0,Driver,Not Ejected,None
8.0,NA,NA,NA,NA
45.0,NA,NA,NA,NA
20.0,20040334.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,20049134.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
24.0,NA,NA,NA,NA
86.0,20036496.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
14.0,NA,NA,NA,NA
16.0,NA,NA,NA,NA
41.0,NA,Driver,NA,None
33.0,20036726.0,Driver,Not Ejected,None
24.0,20037283.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
31.0,20036322.0,Driver,Not Ejected,Lap Belt & Harness
24.0,20036957.0,Driver,Not Ejected,Unknown
48.0,20035948.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
17.0,20035948.0,Driver,Not Ejected,Lap Belt & Harness
38.0,20036956.0,Driver,Not Ejected,Unknown
29.0,20040398.0,Driver,Not Ejected,None
31.0,20037415.0,Driver,Not Ejected,Lap Belt & Harness
19.0,20036943.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
55.0,20036651.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
25.0,20036651.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
38.0,20039250.0,Driver,Not Ejected,Lap Belt
57.0,20036355.0,Driver,Not Ejected,Lap Belt & Harness
25.0,20036651.0,Driver,Not Ejected,Lap Belt & Harness
39.0,20037131.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
24.0,20037131.0,Driver,Not Ejected,Lap Belt & Harness
19.0,20036943.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
19.0,20035949.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Harness
17.0,20035949.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
18.0,20035949.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
57.0,20037784.0,Driver,Ejected,Helmet/Other (In-Line Skater/Bicyclist)
39.0,20037380.0,Driver,Not Ejected,Lap Belt & Harness
28.0,20037556.0,Driver,Not Ejected,Lap Belt & Harness
38.0,NA,NA,NA,NA
42.0,20039236.0,Driver,Not Ejected,Lap Belt & Harness
43.0,20036596.0,Driver,Not Ejected,Lap Belt
59.0,20036622.0,Driver,Not Ejected,Unknown
40.0,20036346.0,Driver,Not Ejected,None
18.0,20037158.0,Driver,Not Ejected,Unknown
56.0,20038803.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
41.0,20038803.0,Driver,Not Ejected,Lap Belt & Harness
52.0,20036546.0,Driver,Not Ejected,Lap Belt & Harness
54.0,20036500.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
32.0,20040816.0,Driver,Not Ejected,None
22.0,NA,Driver,Not Ejected,Other
45.0,20036991.0,Driver,Not Ejected,Unknown
28.0,20036655.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
50.0,20036443.0,Driver,Not Ejected,Lap Belt
26.0,20036819.0,Driver,Not Ejected,Lap Belt & Harness
30.0,20038216.0,Driver,Not Ejected,Unknown
22.0,20036253.0,Driver,Partially Ejected,Helmet Only (In-Line Skater/Bicyclist)
50.0,20038215.0,Driver,Not Ejected,Unknown
27.0,20036655.0,Driver,Not Ejected,Lap Belt
24.0,20036820.0,Driver,Not Ejected,Lap Belt & Harness
47.0,20038215.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
7.0,20036731.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Child Restraint Only
38.0,20036656.0,Driver,Not Ejected,Lap Belt
32.0,20036444.0,Driver,Not Ejected,Lap Belt
41.0,20037702.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
64.0,NA,NA,NA,NA
28.0,20037983.0,Driver,Not Ejected,Lap Belt & Harness
72.0,20036168.0,Riding/Hanging on Outside,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
50.0,20036562.0,"Middle front seat, or passenger lying across a seat",Ejected,Helmet (Motorcycle Only)
53.0,20037015.0,Driver,Not Ejected,Helmet (Motorcycle Only)
23.0,20036194.0,Driver,Not Ejected,Air Bag Deployed
23.0,20036572.0,Driver,Not Ejected,Lap Belt & Harness
22.0,20036169.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
36.0,20037982.0,Driver,Not Ejected,Lap Belt & Harness
67.0,20041337.0,Driver,Not Ejected,None
28.0,20044795.0,Driver,Partially Ejected,None
22.0,20042515.0,Driver,Not Ejected,Helmet (Motorcycle Only)
15.0,20046723.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
51.0,NA,NA,NA,NA
79.0,NA,NA,NA,NA
55.0,20036624.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
15.0,20037072.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
54.0,20037072.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
34.0,20036624.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
58.0,20036551.0,Driver,Not Ejected,Lap Belt & Harness
63.0,NA,NA,NA,NA
32.0,20037056.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
75.0,20037218.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
33.0,20036550.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
57.0,20036813.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
53.0,20036813.0,Driver,Not Ejected,Lap Belt & Harness
52.0,20036974.0,Driver,Not Ejected,Unknown
31.0,20037797.0,Driver,Not Ejected,Unknown
16.0,NA,NA,NA,NA
75.0,20038832.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
34.0,20038534.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
37.0,20038832.0,Driver,Not Ejected,Lap Belt & Harness
66.0,20038832.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
23.0,20103356.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
48.0,20103356.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
47.0,20103355.0,Driver,Not Ejected,Lap Belt
57.0,20103355.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
30.0,20103356.0,Driver,Not Ejected,Lap Belt
23.0,20103356.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
45.0,20036958.0,Riding/Hanging on Outside,Ejected,Helmet Only (In-Line Skater/Bicyclist)
24.0,20042792.0,Driver,Not Ejected,Lap Belt & Harness
23.0,20042792.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
19.0,20042792.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
73.0,20037451.0,Driver,Not Ejected,Lap Belt
67.0,20036863.0,Driver,Not Ejected,Lap Belt & Harness
39.0,20036661.0,Driver,Not Ejected,Lap Belt & Harness
27.0,20036358.0,Driver,Partially Ejected,Unknown
27.0,20036959.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
28.0,20036959.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
28.0,20038806.0,Driver,Not Ejected,Lap Belt & Harness
30.0,20038805.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
22.0,20038805.0,Driver,Not Ejected,Lap Belt & Harness
11.0,20039481.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
55.0,20036995.0,Driver,Not Ejected,Unknown
18.0,20039242.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
38.0,20037001.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
52.0,20037935.0,Driver,Not Ejected,Unknown
26.0,20037000.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
41.0,20039241.0,Driver,Not Ejected,Lap Belt & Harness
59.0,20039824.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
33.0,20039824.0,Driver,Not Ejected,Lap Belt & Harness
55.0,20039825.0,Driver,Not Ejected,Lap Belt & Harness
54.0,20064927.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Partially Ejected,Unknown
50.0,20042767.0,Driver,Ejected,None
42.0,20042533.0,Driver,Not Ejected,Unknown
15.0,20038222.0,Driver,Ejected,Unknown
47.0,20036170.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
51.0,20036864.0,Driver,Not Ejected,None
36.0,20037535.0,Driver,Not Ejected,Unknown
8.0,20038760.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
13.0,20038760.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
33.0,20038760.0,Driver,Not Ejected,Unknown
60.0,20038618.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
58.0,20036666.0,Driver,Not Ejected,Helmet (Motorcycle Only)
54.0,20037059.0,Driver,Partially Ejected,Helmet (Motorcycle Only)
35.0,NA,NA,NA,NA
58.0,20041834.0,Driver,Not Ejected,Helmet (Motorcycle Only)
55.0,NA,NA,NA,NA
27.0,NA,NA,NA,NA
53.0,NA,NA,NA,NA
34.0,20038139.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Ejected,None
30.0,20038139.0,Driver,Ejected,None
22.0,20037384.0,Driver,Not Ejected,None
23.0,20057516.0,"Middle front seat, or passenger lying across a seat",Not Ejected,None
41.0,20052084.0,Driver,Not Ejected,Lap Belt & Harness
36.0,20052084.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
38.0,20052084.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
42.0,20037602.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Unknown
25.0,NA,NA,NA,NA
48.0,20037602.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
18.0,20037602.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
36.0,20036250.0,Driver,Not Ejected,Unknown
9.0,20037602.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
53.0,20039665.0,Driver,Not Ejected,Lap Belt & Harness
22.0,NA,NA,NA,NA
41.0,20037246.0,Driver,Not Ejected,Lap Belt & Harness
44.0,20036419.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
29.0,20037578.0,Driver,Not Ejected,None
21.0,NA,Unknown,NA,NA
73.0,NA,NA,NA,NA
26.0,20037065.0,Driver,Not Ejected,Lap Belt & Harness
35.0,20036876.0,Driver,Not Ejected,Lap Belt & Harness
44.0,20040097.0,Driver,Ejected,Unknown
24.0,20038761.0,Driver,Not Ejected,Unknown
32.0,20036462.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
31.0,20038343.0,Driver,Not Ejected,None
33.0,20036760.0,Driver,Not Ejected,Lap Belt & Harness
36.0,20036759.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
52.0,20036209.0,Driver,Not Ejected,Lap Belt & Harness
39.0,NA,NA,NA,NA
61.0,20037164.0,Driver,Not Ejected,Unknown
44.0,20036759.0,Driver,Not Ejected,Lap Belt
25.0,NA,NA,NA,NA
42.0,20048161.0,Driver,Not Ejected,Lap Belt & Harness
39.0,NA,NA,NA,NA
27.0,20037178.0,Driver,Not Ejected,Lap Belt & Harness
54.0,20037255.0,Driver,Not Ejected,Lap Belt & Harness
33.0,20037557.0,Driver,Not Ejected,Lap Belt & Harness
17.0,20036328.0,Driver,Not Ejected,Other
40.0,20038287.0,Driver,Not Ejected,Unknown
30.0,20037180.0,Driver,Not Ejected,Lap Belt
44.0,NA,NA,NA,NA
20.0,20036984.0,Driver,Not Ejected,Lap Belt & Harness
38.0,20037254.0,Driver,Not Ejected,Lap Belt & Harness
33.0,20037638.0,Driver,Not Ejected,Lap Belt & Harness
25.0,20036879.0,Driver,Not Ejected,Lap Belt & Harness
43.0,20036880.0,Driver,Not Ejected,Lap Belt & Harness
25.0,NA,NA,NA,NA
35.0,20037557.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
28.0,20036984.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
41.0,20039253.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
41.0,20039253.0,Driver,Not Ejected,Lap Belt & Harness
33.0,20048733.0,Driver,Not Ejected,Lap Belt & Harness
49.0,NA,NA,NA,NA
43.0,NA,Unknown,Not Ejected,None
32.0,20037445.0,Driver,Not Ejected,Unknown
37.0,20036633.0,Driver,Not Ejected,Lap Belt & Harness
17.0,NA,NA,NA,NA
22.0,NA,NA,NA,NA
74.0,NA,NA,NA,NA
44.0,20037716.0,Driver,Not Ejected,Lap Belt & Harness
17.0,20037444.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
40.0,20036948.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt
16.0,20037444.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
16.0,20037444.0,Driver,Not Ejected,Unknown
30.0,20036948.0,Driver,Not Ejected,Lap Belt
43.0,20037357.0,Driver,Not Ejected,None
31.0,20037356.0,Driver,Not Ejected,None
31.0,20037264.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
27.0,20037193.0,Driver,Ejected,Helmet (Motorcycle Only)
23.0,20038351.0,Driver,Not Ejected,Lap Belt & Harness
32.0,20037264.0,Driver,Not Ejected,Lap Belt & Harness
38.0,NA,NA,NA,NA
32.0,20046201.0,Driver,Not Ejected,Lap Belt
37.0,20037388.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
21.0,20037446.0,Riding/Hanging on Outside,Not Ejected,None
31.0,20037388.0,Driver,Not Ejected,Lap Belt
34.0,20038226.0,Driver,Not Ejected,Unknown
50.0,20038016.0,Driver,Ejected,None
42.0,20038807.0,Driver,Not Ejected,Lap Belt & Harness
31.0,20053801.0,Driver,Not Ejected,Lap Belt & Harness
26.0,NA,NA,NA,NA
58.0,NA,NA,NA,NA
32.0,NA,NA,NA,NA
72.0,NA,NA,NA,NA
51.0,20044232.0,Driver,Not Ejected,Lap Belt & Harness
26.0,20037297.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
21.0,20038231.0,Driver,Not Ejected,Lap Belt & Harness
26.0,20037480.0,Driver,Not Ejected,Unknown
60.0,NA,NA,NA,NA
18.0,20037481.0,Driver,Not Ejected,Unknown
35.0,20037003.0,Driver,Not Ejected,Lap Belt & Harness
29.0,20038766.0,Driver,Not Ejected,Unknown
37.0,20038151.0,Driver,Not Ejected,None
38.0,20038765.0,Driver,Not Ejected,Unknown
37.0,NA,NA,NA,NA
9.0,20037219.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
30.0,20037219.0,Driver,Not Ejected,Lap Belt & Harness
7.0,20037615.0,Driver,Not Ejected,None
27.0,20037640.0,Driver,Not Ejected,Lap Belt & Harness
37.0,20037118.0,Driver,Not Ejected,Lap Belt
61.0,20040579.0,Driver,Ejected,None
60.0,20037709.0,Driver,Not Ejected,Lap Belt
60.0,NA,NA,NA,NA
40.0,20038066.0,Driver,Not Ejected,Lap Belt
57.0,20037625.0,Driver,Not Ejected,Lap Belt & Harness
44.0,20037990.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
32.0,NA,NA,NA,NA
34.0,20037590.0,Driver,Not Ejected,None
37.0,20037984.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Child Restraint Only
29.0,20047126.0,Driver,Not Ejected,Unknown
40.0,20047115.0,Driver,Not Ejected,Other
21.0,20037893.0,Driver,Not Ejected,Lap Belt & Harness
